Reference.Code,Student.Number,Sex,Module.Language,Module.Duration,Module.City,module.lat,module.long,Module.Country,Home.Region,Home.Postal.Code
FNZR4815,2015-001-501575,Male,Chinese,Summer,Nanjing,32.0603,118.7969,China,California,91436
FPSW2233,2015-001-503344,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,West Virginia,25419
FPTQ2451,2015-001-502734,Female,Chinese,Summer,Suzhou,31.299,120.5853,China,District of Columbia,20007
FPVE9865,2015-001-503012,Female,Hindi,Summer,Indore,22.7196,75.8577,India,Illinois,60422
FSFG6273,2015-001-500508,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Ohio,45387
FSYD9145,2015-001-511279,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4103
FTBG2181,2015-001-502886,Male,Chinese,Summer,Shanghai,31.2304,121.4737,China,Wisconsin,53086
FTPT6676,2015-001-503184,Male,Russian,Summer,Narva,59.3797,28.1791,Estonia,Mississippi,39701
FUCC7387,2015-001-503064,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Georgia,30327
FWXH6746,2015-001-502794,Female,Chinese,Summer,Jiaxing,30.7539,120.7585,China,Illinois,60302
FXQZ1774,2015-001-503734,Male,Russian,Summer,Kirov,58.4199,50.2097,Russia,Virginia,23692
FYGC2157,2015-001-503086,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,Florida,34786
GAJU4615,2015-001-500555,Male,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,New York,10075
GAZX2861,2015-001-501445,Male,Persian (Tajik),Summer,Dushanbe,38.5598,68.787,Tajikistan,Texas,76502
GBVQ7554,2015-001-511309,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Virginia,23692
GDZX2172,2015-001-500784,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Nebraska,68114
GEBG8814,2015-001-502685,Female,Korean,Summer,Songdo,37.3839,126.6439,South Korea,New York,10021
GEFC7796,2015-001-501522,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,New Jersey,7078
GENW6197,2015-001-501530,Female,Chinese,Summer,Nanjing,32.0603,118.7969,China,Arizona,85215
GGDN6381,2015-001-503853,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Connecticut,6820
GGPX7272,2015-001-501704,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Massachusetts,2474
GGUA1475,2015-001-503739,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,Missouri,63385
GMHF4412,2015-001-502684,Male,Russian,Summer,Kirov,58.4199,50.2097,Russia,California,94546
GNGZ1477,2015-001-503103,Male,Russian,Summer,Chisinau,47.0105,28.8638,Moldova,New York,10028
GPHQ9878,2015-001-502804,Male,Chinese,Summer,Xiamen,24.4798,118.0894,China,Pennsylvania,15241
